Category,Subcategory,Feature/Component,Description,Location,Priority,Test Type,Test Method,Notes,Implementation Time,Current Status %
Database,Extensions,pgvector,Vector similarity search,Database,P0,AUTO,pytest: verify extension (prod),"Prod yes, local dev no",,65%
Database,Extensions,PostGIS,Geospatial functions,Database,P0,AUTO,pytest: verify extension,Extension enabled with geometry functions,,100%
Explore,Layout,Category Grid,4 category cards with icons,App Frontend,P0,AUTO,Playwright: verify 4 cards,4 categories with lucide-react icons,,100%
Explore,Layout,Live Counts,Show POI count per category,App Frontend,P0,AUTO,Playwright: verify counts,Real-time API calls per category,,100%
Explore,Layout,Split View,"List on left, map on right",App Frontend,P0,AUTO,Playwright: verify layout,"List left, map right layout",,100%
Explore,Filtering,Type Filter,Filter by POI type,App Frontend,P0,AUTO,"Playwright: click, verify filter",URL parameter ?type=BUSINESS,,100%
Explore,Filtering,Search Within,Search filtered results,App Frontend,P0,AUTO,"Playwright: search, verify",Real-time name filtering,,100%
Explore,Filtering,Distance Sort,Sort by distance from location,App Frontend,P1,AUTO,Playwright: verify order,Haversine formula calculation,,100%
Explore,Features,Save/Favorites,Save POIs to list,App Frontend,P2,AUTO,Playwright: click heart,Placeholder 'coming soon' alert only,,5%
Homepage,Hero,Main Tagline,'What's Actually Nearby',App Frontend,P0,AUTO,Playwright: verify text,'What's Actually Nearby' displayed,,100%
Homepage,Hero,Search Bar,Central search input,App Frontend,P0,AUTO,Playwright: verify input,Central SearchBar component,,100%
Homepage,Hero,Announcement Bar,Testing location notice,App Frontend,P0,AUTO,Playwright: verify text,"Pittsboro, NC testing notice",,100%
Homepage,Hero,Description,'No Ads. No Clutter.',App Frontend,P0,AUTO,Playwright: verify meta description,'No Ads. No Clutter.' text,,100%
Homepage,Sections,Feature Showcase,Platform features display,App Frontend,P1,HYBRID,Playwright: sections | Manual: content,3-step SimpleSection guide,,100%
Homepage,Sections,Signup Bar,Email waitlist signup,App Frontend,P0,AUTO,"Playwright: submit, verify API",Email collection to /api/waitlist,,95%
Homepage,Sections,Info Sections,Additional info blocks,App Frontend,P1,HYBRID,Playwright: expand | Manual: content,6 FAQ questions in InfoSection,,100%
Homepage,Navigation,Navbar,Top navigation bar,App Frontend,P0,AUTO,Playwright: verify links,Top navigation working,,100%
Homepage,Navigation,Footer,Site footer with links,App Frontend,P0,AUTO,Playwright: verify links,"Social links, CTA. Sponsors hidden",,90%
Known Issues,NN-55,POI Update HTTP 422,Error when updating POI,Admin Backend,P0,AUTO,"pytest: reproduce, verify fix",UNRESOLVED - Schema validation too strict,,0%
Known Issues,NN-4,Can't Save New POIs,HTTP 500 on save,Admin Backend,P0,AUTO,pytest: create POI,"CRITICAL - HTTP 500, intermittent",,0%
Known Issues,NN-38,Map Zoom Too Far,Default zoom needs adjustment,Admin Frontend,P1,MANUAL,Manual: verify zoom appropriate,Improved but needs more tuning,,70%
Known Issues,NN-38,Address Autocomplete,Need address suggestions,Admin Frontend,P2,AUTO,"Playwright: type, verify suggestions",NOT IMPLEMENTED,,0%
Known Issues,NN-36,Seasonal Date Ranges,Can't specify season dates,Admin Backend,P1,AUTO,pytest: verify saves,IMPLEMENTED in HoursSelector,,100%
Known Issues,NN-36,Recurring Exceptions,Monthly patterns not supported,Admin Backend,P2,AUTO,pytest: verify patterns,IMPLEMENTED - 3rd Wednesday patterns work,,100%
Known Issues,NN-36,Hours Toggle Frontend,Toggle button not working,App Frontend,P0,AUTO,Playwright: click toggle,NOT WORKING - toggle broken,,0%
Known Issues,NN-46,Venue Data Inheritance,Events don't pull from venue,Admin Backend,P1,AUTO,pytest: verify venue data,NOT IMPLEMENTED,,0%
Known Issues,NN-46,Events Page Blank,Events list showing blank,App Frontend,P0,AUTO,"Playwright: navigate, verify renders",CRITICAL - White screen,,0%
Known Issues,NN-50,Map Colors A11y,Color contrast issues,App Frontend,P1,MANUAL,Manual: colorblind simulation,FIXED - Carto Voyager accessible tiles,,100%
Known Issues,NN-57,Teaser Char Limit,Need 120 char limit,Admin Frontend,P0,AUTO,Playwright: type >120,No character counter in UI,,0%
Known Issues,NN-57,Parking Lat/Long,Missing parking coordinates,Admin Backend,P1,AUTO,pytest: verify fields,MISSING field,,0%
Known Issues,NN-57,Restroom Duplicate,Can't add multiple restrooms,Admin Frontend,P1,AUTO,Playwright: click add,"Parks only, need for Trails/Events",,50%
Known Issues,NN-57,Playground Lat/Long,Missing playground coordinates,Admin Backend,P1,AUTO,pytest: verify fields,MISSING field,,0%
Known Issues,NN-57,Corporate Checkboxes,Checkboxes not clickable,Admin Frontend,P0,AUTO,"Playwright: click, verify state",NOT CLICKABLE - Radio.Group issue,,0%
Known Issues,NN-48,Verified Badge Popup,Popup not showing,App Frontend,P0,AUTO,"Playwright: hover, verify popup",NOT SHOWING on hover,,0%
Known Issues,NN-38,Share Options,Only copy link showing,App Frontend,P0,AUTO,"Playwright: click, verify options",Only copy link showing,,0%
Known Issues,NN-31,Copy Address,Only copying city,App Frontend,P0,AUTO,"Playwright: click, verify full address","Only copying city, not full address",,0%
Known Issues,NN-28,Map Marker Connection,Connect markers to card list,App Frontend,P1,AUTO,"Playwright: click, verify scroll",Works but could be better UX,,80%
